run_id,label,precision,recall,f1,roc_auc
run_10_lr2.00e-05_wd0.010_warm0.10,insult,0.754079254079254,0.8210659898477157,0.7861482381530984,0.9898014549153586
run_10_lr2.00e-05_wd0.010_warm0.10,identity_hate,0.5549132947976878,0.6808510638297872,0.6114649681528662,0.9886393444166592
run_11_lr2.00e-05_wd0.015_warm0.06,toxic,0.8379960962914769,0.842380640941792,0.8401826484018264,0.9878819592528146
run_11_lr2.00e-05_wd0.015_warm0.06,severe_toxic,0.5317919075144508,0.575,0.5525525525525525,0.9922822509178376
run_11_lr2.00e-05_wd0.015_warm0.06,obscene,0.8444180522565321,0.8414201183431953,0.8429164196799052,0.9927815192610148
run_11_lr2.00e-05_wd0.015_warm0.06,threat,0.5555555555555556,0.625,0.5882352941176471,0.9904312015503876
run_11_lr2.00e-05_wd0.015_warm0.06,insult,0.7294372294372294,0.8553299492385786,0.7873831775700935,0.9896143621026005
run_11_lr2.00e-05_wd0.015_warm0.06,identity_hate,0.5245098039215687,0.7588652482269503,0.6202898550724638,0.9882799591246872
run_12_lr2.00e-05_wd0.015_warm0.10,toxic,0.8519269776876268,0.8240680183126227,0.8377659574468085,0.9879251784781764
run_12_lr2.00e-05_wd0.015_warm0.10,severe_toxic,0.5337423312883436,0.54375,0.5386996904024768,0.9923716609697429
run_12_lr2.00e-05_wd0.015_warm0.10,obscene,0.8451536643026005,0.8461538461538461,0.8456534594914252,0.9927505102586158
run_12_lr2.00e-05_wd0.015_warm0.10,threat,0.5238095238095238,0.6875,0.5945945945945946,0.9876937984496125
run_12_lr2.00e-05_wd0.015_warm0.10,insult,0.7558139534883721,0.8248730964467005,0.7888349514563107,0.9898201934756349
run_12_lr2.00e-05_wd0.015_warm0.10,identity_hate,0.5654761904761905,0.6737588652482269,0.6148867313915858,0.9887133289121992
run_13_lr2.50e-05_wd0.010_warm0.06,toxic,0.8385416666666666,0.842380640941792,0.8404567699836868,0.9877101475341631
run_13_lr2.50e-05_wd0.010_warm0.06,severe_toxic,0.54375,0.54375,0.54375,0.9924132010381062
run_13_lr2.50e-05_wd0.010_warm0.06,obscene,0.8474374255065554,0.8414201183431953,0.8444180522565321,0.9926733792804268
run_13_lr2.50e-05_wd0.010_warm0.06,threat,0.5882352941176471,0.625,0.6060606060606061,0.9891315734338991
run_13_lr2.50e-05_wd0.010_warm0.06,insult,0.7285407725321889,0.8616751269035533,0.7895348837209303,0.9895798965363779
run_13_lr2.50e-05_wd0.010_warm0.06,identity_hate,0.4956521739130435,0.8085106382978723,0.6145552560646901,0.9882339990592759
run_14_lr2.50e-05_wd0.010_warm0.10,toxic,0.8397898883782009,0.8364944408109876,0.8381389252948886,0.9878773812331383
run_14_lr2.50e-05_wd0.010_warm0.10,severe_toxic,0.49019607843137253,0.625,0.5494505494505495,0.9924173550449423
run_14_lr2.50e-05_wd0.010_warm0.10,obscene,0.8533653846153846,0.8402366863905325,0.8467501490757304,0.992856379377917
run_14_lr2.50e-05_wd0.010_warm0.10,threat,0.5238095238095238,0.6875,0.5945945945945946,0.9869009270898806
run_14_lr2.50e-05_wd0.010_warm0.10,insult,0.7488532110091743,0.8286802030456852,0.7867469879518072,0.9897269607728318
run_14_lr2.50e-05_wd0.010_warm0.10,identity_hate,0.5621301775147929,0.6737588652482269,0.6129032258064516,0.9889765343599691
run_15_lr2.50e-05_wd0.015_warm0.06,toxic,0.8472131147540983,0.8449967298888162,0.8461034708578913,0.9878203599583554
run_15_lr2.50e-05_wd0.015_warm0.06,severe_toxic,0.5325443786982249,0.5625,0.547112462006079,0.9924931162172427
run_15_lr2.50e-05_wd0.015_warm0.06,obscene,0.8459715639810427,0.8449704142011835,0.8454706927175843,0.9927759595661403
run_15_lr2.50e-05_wd0.015_warm0.06,threat,0.49230769230769234,0.6666666666666666,0.5663716814159292,0.9897404672113974
